customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,26.39,23.52,0
CUST-00002,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.7,126.84,0
CUST-00003,Female,1,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,110.82,4893.33,1
CUST-00004,Female,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.54,336.42,0
CUST-00005,Male,1,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),100.43,5352.84,0
CUST-00006,Male,0,No,Yes,31,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,107.58,3308.87,0
CUST-00007,Male,0,Yes,Yes,21,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,93.0,1926.52,0
CUST-00008,Female,1,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),52.42,2858.44,0
CUST-00009,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,49.93,795.63,0
CUST-00010,Female,0,No,Yes,69,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),78.14,5351.03,0
CUST-00011,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,5929.27,1
CUST-00012,Female,0,No,Yes,7,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),114.56,785.89,0
CUST-00013,Female,0,No,No,60,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.81,5102.66,0
CUST-00014,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,31.39,355.87,0
CUST-00015,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),76.56,1368.77,0
CUST-00016,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),66.61,826.34,0
CUST-00017,Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,79.74,5179.73,0
CUST-00018,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,36.09,1953.23,0
CUST-00019,Male,0,Yes,Yes,60,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.43,5091.71,0
CUST-00020,Male,1,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),40.06,2170.72,0
CUST-00021,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),18.25,1138.51,0
CUST-00022,Male,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.0,715.43,1
CUST-00023,Male,1,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,118.75,5451.03,1
CUST-00024,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,49.8,303.23,0
CUST-00025,Male,1,No,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,62.76,2059.41,0
CUST-00026,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,101.28,6449.71,0
CUST-00027,Male,0,No,No,63,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,107.82,6859.77,0
CUST-00028,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,81.67,5318.44,0
CUST-00029,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,56.46,1668.64,0
CUST-00030,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.63,6766.15,1
CUST-00031,Female,0,Yes,No,53,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),46.6,2412.36,0
CUST-00032,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),57.94,426.92,1
CUST-00033,Male,0,No,Yes,41,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),90.4,3744.75,0
CUST-00034,Female,0,No,No,40,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),36.34,1453.61,0
CUST-00035,Female,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.76,5080.16,0
CUST-00036,Female,0,Yes,No,39,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.88,4080.73,1
CUST-00037,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.83,2340.53,1
CUST-00038,Male,1,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,63.44,1462.91,1
CUST-00039,Female,0,No,No,37,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),64.14,2374.04,0
CUST-00040,Male,1,Yes,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,88.01,108.74,1
CUST-00041,Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,60.11,2428.35,0
CUST-00042,Female,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.78,1145.64,0
CUST-00043,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.19,170.91,0
CUST-00044,Female,0,No,No,61,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.78,5300.35,0
CUST-00045,Male,0,No,No,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.41,342.32,0
CUST-00046,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),43.76,961.86,0
CUST-00047,Male,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,25.98,305.99,0
CUST-00048,Female,0,Yes,No,55,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,35.94,1982.27,0
CUST-00049,Female,0,No,No,64,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,50.92,3232.26,0
CUST-00050,Male,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,70.55,3084.64,0
CUST-00051,Female,0,No,No,53,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,74.22,3868.94,0
CUST-00052,Female,0,Yes,No,65,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,25.23,1677.99,0
CUST-00053,Female,0,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,52.92,2420.55,0
CUST-00054,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.49,1206.66,0
CUST-00055,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.8,3496.74,0
CUST-00056,Female,0,Yes,No,21,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,56.51,1203.32,0
CUST-00057,Male,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,106.88,4268.08,0
CUST-00058,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,71.79,2742.53,0
CUST-00059,Male,0,No,Yes,40,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,60.38,2357.39,0
CUST-00060,Male,0,Yes,No,67,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,72.75,4831.55,0
CUST-00061,Male,1,Yes,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),54.74,283.38,0
CUST-00062,Male,1,Yes,Yes,70,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),113.26,7994.24,1
CUST-00063,Female,0,No,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.04,205.84,0
CUST-00064,Male,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,89.46,5109.98,0
CUST-00065,Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,93.21,2395.4,0
CUST-00066,Female,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57.64,1757.53,0
CUST-00067,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.91,2522.24,0
CUST-00068,Female,0,No,No,68,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),67.43,4661.1,0
CUST-00069,Male,1,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,93.02,4732.57,0
CUST-00070,Female,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,37.47,2728.47,0
CUST-00071,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),79.1,1471.52,0
